stop_id,feature_type,feature_name
53,6000,Curb ramp near stop
53,6000,Pavement at front door
53,6000,Lighting at stop
53,6000,Shelter
53,6000,Sidewalk at stop
53,6000,Telephone near stop
53,6000,Traffic signal
54,6000,Pavement at back door
54,6000,Schedule display
54,6000,Bench near stop
54,6000,Curb ramp near stop
54,6000,Pavement at front door
54,6000,Lighting at stop
54,6000,Sidewalk at stop
54,6000,Telephone near stop
55,6000,Pavement at back door
55,6000,Schedule display
55,6000,Bench near stop
55,6000,Pavement at front door
55,6000,Lighting at stop
55,6000,Shelter
55,6000,Sidewalk at stop
55,6000,Telephone near stop
60,6000,Pavement at back door
60,6000,Schedule display
60,6000,Bench near stop
60,6000,Crosswalk near stop
60,6000,Curb ramp near stop
60,6000,Pavement at front door
60,6000,Lighting at stop
60,6000,Sidewalk at stop
60,6000,Telephone near stop
61,6000,Pavement at back door
61,6000,Schedule display
61,6000,Bike rack at stop
61,6000,Bench near stop
61,6000,Bench near stop
61,6000,Crosswalk near stop
61,6000,Curb ramp near stop
61,6000,Pavement at front door
61,6000,Lighting at stop
61,6000,Sidewalk at stop
61,6000,Telephone near stop
63,6000,Pavement at back door
63,6000,Schedule display
63,6000,Bench near stop
63,6000,Crosswalk near stop
63,6000,Curb ramp near stop
63,6000,Pavement at front door
63,6000,Lighting at stop
63,6000,Shelter
63,6000,Sidewalk at stop
64,6000,Pavement at back door
64,6000,Schedule display
64,6000,Bench near stop
64,6000,Crosswalk near stop
64,6000,Curb ramp near stop
64,6000,Pavement at front door
64,6000,Lighting at stop
64,6000,Shelter
64,6000,Sidewalk at stop
67,6000,Schedule display
68,6000,Schedule display
69,6000,Pavement at back door
69,6000,Schedule display
69,6000,Bench near stop
69,6000,Curb ramp near stop
69,6000,Pavement at front door
69,6000,Lighting at stop
69,6000,Shelter
69,6000,Sidewalk at stop
70,6000,Pavement at back door
70,6000,Schedule display
70,6000,Curb ramp near stop
70,6000,Pavement at front door
70,6000,Lighting at stop
70,6000,Shelter
70,6000,Sidewalk at stop
71,6000,Pavement at back door
71,6000,Schedule display
71,6000,Bench near stop
71,6000,Crosswalk near stop
71,6000,Curb ramp near stop
71,6000,Pavement at front door
71,6000,Lighting at stop
71,6000,Sidewalk at stop
72,6000,Schedule display
72,6000,Bench near stop
72,6000,Crosswalk near stop
72,6000,Curb ramp near stop
72,6000,Pavement at front door
72,6000,Lighting at stop
72,6000,Shelter
72,6000,Sidewalk at stop
72,6000,Telephone near stop
72,6000,Traffic signal
73,6000,Pavement at back door
73,6000,Schedule display
73,6000,Bench near stop
73,6000,Crosswalk near stop
73,6000,Curb ramp near stop
73,6000,Pavement at front door
73,6000,Lighting at stop
73,6000,Shelter
73,6000,Sidewalk at stop
73,6000,Garbage Can
73,6000,Telephone near stop
73,6000,Traffic signal
74,6000,Pavement at back door
74,6000,Schedule display
74,6000,Bench near stop
74,6000,Crosswalk near stop
74,6000,Curb ramp near stop
74,6000,Pavement at front door
74,6000,Lighting at stop
74,6000,Shelter
74,6000,Sidewalk at stop
74,6000,Garbage Can
74,6000,Telephone near stop
74,6000,Traffic signal
76,6000,Pavement at back door
76,6000,Schedule display
76,6000,Bench near stop
76,6000,Curb ramp near stop
76,6000,Pavement at front door
76,6000,Lighting at stop
76,6000,Lighting at stop
76,6000,Shelter
76,6000,Sidewalk at stop
77,6000,Pavement at back door
77,6000,Schedule display
77,6000,Bench near stop
77,6000,Curb ramp near stop
77,6000,Pavement at front door
77,6000,Lighting at stop
77,6000,Lighting at stop
77,6000,Shelter
77,6000,Sidewalk at stop
77,6000,Garbage Can
78,6000,Schedule display
78,6000,Crosswalk near stop
78,6000,Curb ramp near stop
78,6000,Pavement at front door
78,6000,Lighting at stop
78,6000,Sidewalk at stop
79,6000,Pavement at back door
79,6000,Schedule display
79,6000,Bench near stop
79,6000,Crosswalk near stop
79,6000,Curb ramp near stop
79,6000,Pavement at front door
79,6000,Lighting at stop
79,6000,Sidewalk at stop
80,6000,Pavement at back door
80,6000,Schedule display
80,6000,Curb ramp near stop
80,6000,Pavement at front door
80,6000,Lighting at stop
80,6000,Sidewalk at stop
81,6000,Schedule display
81,6000,Curb ramp near stop
81,6000,Pavement at front door
81,6000,Lighting at stop
81,6000,Sidewalk at stop
82,6000,Schedule display
82,6000,Curb ramp near stop
82,6000,Pavement at front door
82,6000,Lighting at stop
82,6000,Sidewalk at stop
83,6000,Schedule display
83,6000,Curb ramp near stop
83,6000,Pavement at front door
83,6000,Lighting at stop
83,6000,Sidewalk at stop
84,6000,Schedule display
84,6000,Crosswalk near stop
84,6000,Curb ramp near stop
84,6000,Lighting at stop
84,6000,Sidewalk at stop
88,6000,Pavement at back door
88,6000,Schedule display
88,6000,Bench near stop
88,6000,Crosswalk near stop
88,6000,Curb ramp near stop
88,6000,Pavement at front door
88,6000,Lighting at stop
88,6000,Lighting at stop
88,6000,Shelter
88,6000,Sidewalk at stop
88,6000,Garbage Can
88,6000,Traffic signal
89,6000,Pavement at back door
89,6000,Schedule display
89,6000,Crosswalk near stop
89,6000,Curb ramp near stop
89,6000,Pavement at front door
89,6000,Lighting at stop
89,6000,Lighting at stop
89,6000,Shelter
89,6000,Sidewalk at stop
89,6000,Garbage Can
89,6000,Telephone near stop
89,6000,Traffic signal
90,6000,Pavement at back door
90,6000,Schedule display
90,6000,Bench near stop
90,6000,Crosswalk near stop
90,6000,Curb ramp near stop
90,6000,Pavement at front door
90,6000,Lighting at stop
90,6000,Sidewalk at stop
90,6000,Telephone near stop
90,6000,Traffic signal
91,6000,Pavement at back door
91,6000,Schedule display
91,6000,Bench near stop
91,6000,Crosswalk near stop
91,6000,Pavement at front door
91,6000,Lighting at stop
91,6000,Sidewalk at stop
91,6000,Telephone near stop
91,6000,Traffic signal
92,6000,Pavement at back door
92,6000,Schedule display
92,6000,Crosswalk near stop
92,6000,Curb ramp near stop
92,6000,Pavement at front door
92,6000,Lighting at stop
92,6000,Protection from the weather
92,6000,Sidewalk at stop
92,6000,Telephone near stop
92,6000,Traffic signal
93,6000,Schedule display
93,6000,Crosswalk near stop
93,6000,Curb ramp near stop
93,6000,Pavement at front door
93,6000,Lighting at stop
93,6000,Sidewalk at stop
93,6000,Traffic signal
94,6000,Pavement at back door
94,6000,Schedule display
94,6000,Curb ramp near stop
94,6000,Pavement at front door
94,6000,Lighting at stop
94,6000,Shelter
94,6000,Sidewalk at stop
94,6000,Garbage Can
95,6000,Schedule display
95,6000,Curb ramp near stop
95,6000,Pavement at front door
95,6000,Lighting at stop
95,6000,Lighting at stop
95,6000,Shelter
95,6000,Sidewalk at stop
95,6000,Garbage Can
99,6000,Schedule display
99,6000,Curb ramp near stop
99,6000,Lighting at stop
99,6000,Sidewalk at stop
100,6000,Schedule display
100,6000,Crosswalk near stop
100,6000,Curb ramp near stop
100,6000,Sidewalk at stop
100,6000,Traffic signal
101,6000,Schedule display
101,6000,Crosswalk near stop
101,6000,Curb ramp near stop
101,6000,Sidewalk at stop
101,6000,Traffic signal
102,6000,Pavement at back door
102,6000,Schedule display
102,6000,Crosswalk near stop
102,6000,Curb ramp near stop
102,6000,Pavement at front door
102,6000,Sidewalk at stop
102,6000,Telephone near stop
102,6000,Traffic signal
103,6000,Pavement at back door
103,6000,Schedule display
103,6000,Crosswalk near stop
103,6000,Curb ramp near stop
103,6000,Pavement at front door
103,6000,Sidewalk at stop
103,6000,Telephone near stop
103,6000,Traffic signal
104,6000,Pavement at back door
104,6000,Schedule display
104,6000,Crosswalk near stop
104,6000,Curb ramp near stop
104,6000,Pavement at front door
104,6000,Lighting at stop
104,6000,Sidewalk at stop
104,6000,Traffic signal
105,6000,Pavement at back door
